county_fips_code,daily_change_cases_max,daily_change_deaths_max,daily_change_cases_mean,daily_change_deaths_mean,weekly_change_cases_max,weekly_change_deaths_max,weekly_change_cases_mean,weekly_change_deaths_mean,monthly_change_cases_max,monthly_change_deaths_max,monthly_change_cases_mean,monthly_change_deaths_mean,total_change_cases,total_change_deaths
17073,37.0,2.0,3.889423076923077,0.03365384615384615,88.0,3.0,27.34158415841584,0.19306930693069307,308.0,4.0,117.56983240223464,0.8603351955307262,810.0,7.0
17075,20.0,2.0,2.2259615384615383,0.09134615384615384,58.0,4.0,15.495049504950495,0.6584158415841584,115.0,13.0,65.0,3.184357541899441,464.0,19.0
17077,43.0,3.0,6.732718894009216,0.11981566820276497,153.0,7.0,47.279620853080566,0.8341232227488151,413.0,9.0,209.68617021276594,3.723404255319149,1462.0,26.0
17079,16.0,1.0,1.275,0.05,44.0,3.0,8.675257731958762,0.36082474226804123,119.0,7.0,35.37426900584796,1.4152046783625731,257.0,10.0
17081,41.0,5.0,4.46969696969697,0.2222222222222222,113.0,12.0,31.020833333333332,1.5833333333333333,322.0,18.0,120.02958579881657,6.284023668639053,886.0,44.0
17083,30.0,4.0,2.2935323383084576,0.1044776119402985,72.0,7.0,16.092307692307692,0.7538461538461538,241.0,13.0,71.20348837209302,3.1627906976744184,462.0,21.0
17085,24.0,2.0,2.0892018779342725,0.03286384976525822,72.0,5.0,13.971014492753623,0.178743961352657,203.0,5.0,51.96195652173913,0.45652173913043476,446.0,7.0
17087,41.0,0.0,1.706806282722513,0.0,80.0,0.0,11.654054054054054,0.0,183.0,0.0,40.45679012345679,0.0,327.0,0.0
17089,466.0,16.0,70.22666666666667,1.528888888888889,1497.0,43.0,489.32876712328766,10.89041095890411,4837.0,137.0,2126.7448979591836,50.204081632653065,15802.0,344.0
17091,213.0,6.0,15.04147465437788,0.35944700460829493,446.0,13.0,104.94312796208531,2.5876777251184833,844.0,30.0,453.02127659574467,11.78191489361702,3265.0,78.0
17093,57.0,4.0,11.898617511520737,0.1336405529953917,220.0,10.0,82.8436018957346,0.9241706161137441,620.0,19.0,350.9574468085106,4.047872340425532,2585.0,29.0
17095,55.0,3.0,5.728155339805825,0.05825242718446602,244.0,5.0,37.81,0.33,576.0,9.0,139.1864406779661,0.864406779661017,1181.0,12.0
17097,339.0,20.0,88.63839285714286,2.263392857142857,1322.0,57.0,623.2614678899082,16.146788990825687,4925.0,189.0,2711.276923076923,75.22051282051282,19856.0,507.0
17099,76.0,3.0,10.294930875576037,0.2764976958525346,251.0,12.0,71.4218009478673,1.962085308056872,767.0,31.0,301.29787234042556,9.063829787234043,2235.0,60.0
17101,33.0,3.0,1.598984771573604,0.04060913705583756,82.0,4.0,11.115183246073299,0.2879581151832461,178.0,7.0,49.19047619047619,0.9226190476190477,317.0,8.0
17103,28.0,1.0,3.195,0.005,116.0,1.0,21.190721649484537,0.03608247422680412,311.0,1.0,79.02923976608187,0.17543859649122806,641.0,1.0
17105,29.0,1.0,2.7464788732394365,0.046948356807511735,97.0,3.0,18.193236714975846,0.3188405797101449,254.0,5.0,72.09239130434783,1.2771739130434783,586.0,10.0
17107,35.0,1.0,2.732673267326733,0.019801980198019802,89.0,2.0,19.137755102040817,0.14285714285714285,224.0,3.0,84.73410404624278,0.3872832369942196,553.0,4.0
17109,34.0,3.0,3.5544041450777204,0.08290155440414508,132.0,8.0,24.13903743315508,0.5668449197860963,311.0,13.0,96.10365853658537,2.658536585365854,687.0,16.0
17111,98.0,5.0,26.364444444444445,0.5555555555555556,586.0,15.0,181.44748858447488,3.9954337899543377,1435.0,51.0,767.1989795918367,18.714285714285715,5933.0,125.0
17113,292.0,3.0,18.432558139534883,0.14418604651162792,1076.0,7.0,129.11483253588517,0.9904306220095693,2224.0,12.0,561.2311827956989,3.8225806451612905,3967.0,31.0
17115,100.0,3.0,13.198067632850242,0.23671497584541062,543.0,10.0,87.09452736318408,1.6766169154228856,1337.0,20.0,316.7247191011236,7.168539325842697,2733.0,49.0
17117,24.0,1.0,3.712871287128713,0.04950495049504951,87.0,3.0,25.540816326530614,0.3163265306122449,255.0,4.0,103.94219653179191,1.3641618497109826,751.0,10.0
17119,161.0,5.0,31.995391705069125,0.7050691244239631,539.0,15.0,225.48815165876778,5.042654028436019,2060.0,45.0,979.6914893617021,23.074468085106382,6944.0,153.0
17121,40.0,3.0,4.336585365853659,0.07804878048780488,122.0,8.0,29.43718592964824,0.4371859296482412,379.0,16.0,113.69886363636364,0.8920454545454546,891.0,16.0
17123,7.0,2.0,0.6666666666666666,0.014285714285714285,25.0,3.0,4.602941176470588,0.10294117647058823,64.0,3.0,19.2707182320442,0.16022099447513813,141.0,3.0
17125,9.0,1.0,1.19,0.005,33.0,1.0,8.242268041237113,0.03608247422680412,114.0,1.0,31.50877192982456,0.17543859649122806,239.0,1.0
17127,9.0,1.0,0.6896551724137931,0.009852216748768473,20.0,1.0,4.878172588832487,0.07106598984771574,59.0,2.0,21.057471264367816,0.3448275862068966,141.0,2.0
17129,7.0,1.0,0.7961165048543689,0.0048543689320388345,22.0,1.0,5.54,0.035,59.0,1.0,23.203389830508474,0.15254237288135594,165.0,1.0
17131,11.0,3.0,1.1287128712871286,0.0297029702970297,42.0,4.0,7.576530612244898,0.21428571428571427,103.0,5.0,28.335260115606935,0.976878612716763,229.0,6.0
17133,31.0,2.0,4.113207547169812,0.1320754716981132,81.0,8.0,28.601941747572816,0.9320388349514563,257.0,13.0,118.89617486338798,3.300546448087432,873.0,28.0
17135,19.0,2.0,2.762135922330097,0.06796116504854369,81.0,4.0,18.745,0.47,244.0,6.0,72.70621468926554,2.1129943502824857,570.0,14.0
17137,79.0,8.0,4.061904761904762,0.11904761904761904,161.0,11.0,28.08823529411765,0.8480392156862745,372.0,16.0,120.0939226519337,3.9337016574585637,854.0,25.0
17139,24.0,1.0,1.8762376237623761,0.024752475247524754,101.0,3.0,12.678571428571429,0.17857142857142858,172.0,3.0,45.64739884393064,0.6936416184971098,380.0,5.0
